AirlineName,AirportDest,AirportOrig,ArrTime,DepTime,FlightDuration,Price,StopsCount
Azul,mcz,bsb,2020/01/13-15:40,2020/01/13-10:10,5:30,1242.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-13:55,2020/01/13-22:50,15:5,1350.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-13:55,2020/01/13-22:55,15:00,2450.0,2
Azul,mcz,bsb,2020/01/13-20:30,2020/01/13-12:40,7:50,485.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/13-16:00,2020/01/13-13:35,2:25,387.0,0
LATAM Airlines Group,mcz,bsb,2020/01/13-15:55,2020/01/13-13:35,2:20,1001.0,0
LATAM Airlines Group,mcz,bsb,2020/01/14-02:05,2020/01/13-14:45,11:20,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-02:05,2020/01/13-15:00,11:5,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-02:05,2020/01/13-15:55,10:10,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-02:05,2020/01/13-17:00,9:5,2450.0,2
Azul,mcz,bsb,2020/01/13-13:55,2020/01/13-06:00,7:55,485.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/14-01:35,2020/01/13-18:00,7:35,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/13-15:15,2020/01/13-06:05,9:10,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/13-16:25,2020/01/13-06:30,9:55,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-02:05,2020/01/13-18:45,7:20,2450.0,1
LATAM Airlines Group,mcz,bsb,2020/01/13-18:00,2020/01/13-06:50,11:10,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/13-13:05,2020/01/13-06:55,6:10,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/14-00:05,2020/01/13-19:05,5:00,2011.0,1
Azul,mcz,bsb,2020/01/14-00:40,2020/01/13-19:40,5:00,485.0,1
Azul,mcz,bsb,2020/01/14-01:45,2020/01/13-19:45,6:00,302.0,1
LATAM Airlines Group,mcz,bsb,2020/01/14-09:55,2020/01/13-20:00,13:55,1350.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-13:55,2020/01/13-20:10,17:45,1670.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-18:00,2020/01/13-20:15,21:45,4911.0,2
LATAM Airlines Group,mcz,bsb,2020/01/13-19:15,2020/01/13-08:25,10:50,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/13-19:15,2020/01/13-08:30,10:45,2450.0,2
Azul,mcz,bsb,2020/01/14-01:45,2020/01/13-20:30,5:15,302.0,1
LATAM Airlines Group,mcz,bsb,2020/01/14-13:55,2020/01/13-20:35,17:20,1350.0,2
LATAM Airlines Group,mcz,bsb,2020/01/13-11:00,2020/01/13-08:40,2:20,899.0,0
LATAM Airlines Group,mcz,bsb,2020/01/13-19:15,2020/01/13-08:50,10:25,1843.0,2
LATAM Airlines Group,mcz,bsb,2020/01/13-19:15,2020/01/13-09:05,10:10,2074.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/13-23:30,2020/01/13-21:10,2:20,288.0,0
LATAM Airlines Group,mcz,bsb,2020/01/14-13:55,2020/01/13-21:15,16:40,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/13-22:45,2020/01/13-09:25,13:20,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/13-16:25,2020/01/13-09:25,7:00,1502.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/13-15:15,2020/01/13-09:35,5:40,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/13-12:05,2020/01/13-09:45,2:20,288.0,0
Azul,mcz,bsb,2020/01/14-15:40,2020/01/14-10:10,5:30,1441.0,2
LATAM Airlines Group,mcz,bsb,2020/01/15-13:55,2020/01/14-22:50,15:5,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/15-13:55,2020/01/14-22:55,15:00,2450.0,2
Azul,mcz,bsb,2020/01/14-17:25,2020/01/14-12:40,4:45,485.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/14-16:00,2020/01/14-13:35,2:25,288.0,0
LATAM Airlines Group,mcz,bsb,2020/01/14-15:55,2020/01/14-13:35,2:20,1001.0,0
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-00:05,2020/01/14-13:55,10:10,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/15-02:05,2020/01/14-14:45,11:20,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-01:35,2020/01/14-15:00,10:35,1679.0,1
LATAM Airlines Group,mcz,bsb,2020/01/15-02:05,2020/01/14-15:00,11:5,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/15-02:05,2020/01/14-15:55,10:10,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/15-02:05,2020/01/14-17:00,9:5,2450.0,2
Azul,mcz,bsb,2020/01/14-13:55,2020/01/14-06:00,7:55,1707.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-01:35,2020/01/14-18:00,7:35,1679.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/14-15:15,2020/01/14-06:05,9:10,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/14-16:25,2020/01/14-06:30,9:55,2450.0,2
